OCR_count,audio_val,attention_score,interaction_rate,intent_label
1,1,38,0,idle
24,2,88,15,studying
28,2,65,12,studying
0,0,44,0,idle
0,0,32,2,idle
1,0,30,1,idle
2,1,34,1,idle
0,0,10,0,idle
2,0,7,0,idle
3,1,55,10,passive
2,1,16,0,idle
2,0,8,0,idle
0,0,4,2,idle
18,2,67,22,studying
3,1,57,9,passive
4,1,41,5,passive
0,1,36,0,idle
4,1,42,9,passive
14,2,66,6,studying
1,1,55,10,passive
2,0,49,2,idle
3,1,60,2,passive
1000,0,10,0,idle
1,1,0,0,idle
4,1,59,4,passive
0,2,10,1,passive
0,1,39,1,idle
2,1,1,1,idle
2,1,31,1,idle
45,2,82,18,studying
35,2,79,8,studying
3,1,63,9,passive
1,1,58,0,idle
1,0,32,2,idle
46,2,75,8,studying
2,1,57,5,passive
0,1,4,2,idle
2,1,12,0,idle
0,1,60,0,idle
0,0,0,0,idle
3,1,53,9,passive
2,0,28,2,idle
12,2,85,37,studying
1,0,52,2,idle
0,0,20,100,passive
2,0,6,1,idle
1,1,8,0,idle
45,2,68,31,studying
0,0,51,0,idle
2,1,49,3,passive
5,1,50,2,passive
1,1,51,8,passive
0,1,21,2,idle
46,2,63,18,studying
1,0,17,0,idle
1,1,11,1,idle
27,2,61,39,studying
0,1,54,0,idle
2,0,9,2,idle
1,0,19,2,idle
1,1,42,2,passive
1,1,60,1,idle
-5,1,50,5,passive
1,0,7,0,idle
1,1,60,3,passive
0,2,10,1,passive
2,1,67,9,passive
3,1,63,10,passive
4,1,67,7,passive
2,1,46,10,passive
0,0,7,2,idle
2,1,9,0,idle
1,1,40,2,passive
1,1,51,8,passive
0,0,20,100,passive
46,2,98,17,studying
2,1,500,5,studying
2,1,24,0,idle
1,1,62,3,passive
2,1,45,2,passive
0,2,10,1,passive
5,1,48,10,passive
1,1,61,5,passive
32,2,82,30,studying
1,1,45,5,passive
35,2,95,28,studying
35,2,83,10,studying
4,1,40,3,passive
46,2,67,14,studying
21,2,78,46,studying
43,2,84,24,studying
2,1,500,5,studying
1,1,61,10,passive
0,0,0,0,idle
2,1,54,3,passive
2,1,58,2,passive
2,1,55,2,passive
5,1,43,8,passive
33,2,97,16,studying
19,2,84,17,studying
40,2,87,21,studying
2,1,69,9,passive
2,1,21,2,idle
3,1,65,7,passive
2,1,46,1,idle
1,1,5,1,idle
46,2,97,20,studying
0,2,10,1,passive
18,2,76,19,studying
1000,0,10,0,idle
2,1,500,5,studying
2,1,36,2,idle
0,0,12,0,idle
14,2,80,16,studying
0,0,0,1,idle
0,0,55,2,idle
2,1,15,0,idle
17,2,78,22,studying
0,1,17,2,idle
0,0,0,0,idle
0,0,20,100,passive
1,0,24,0,idle
2,1,16,2,idle
1000,0,10,0,idle
45,2,79,29,studying
1,1,68,7,passive
17,2,97,43,studying
1,1,44,9,passive
0,1,16,0,idle
2,0,7,1,idle
0,2,10,1,passive
2,1,500,5,studying
50,2,92,48,studying
0,0,20,100,passive
0,1,8,2,idle
1,1,37,0,idle
5,1,53,4,passive
0,0,41,0,idle
2,1,37,1,idle
5000,2,100,200,studying
0,2,10,1,passive
4,1,70,3,passive
0,2,10,1,passive
2,1,52,7,passive
0,2,10,1,passive
29,2,64,10,studying
2,1,67,2,passive
-5,1,50,5,passive
3,1,65,2,passive
24,2,78,18,studying
2,1,14,0,idle
4,1,57,8,passive
4,1,43,6,passive
0,0,0,0,idle
1,0,9,2,idle
5,1,53,3,passive
0,0,0,0,idle
17,2,82,21,studying
0,0,2,0,idle
42,2,76,33,studying
13,2,67,23,studying
5,1,50,10,passive
11,2,77,26,studying
2,0,25,1,idle
41,2,65,11,studying
0,0,20,100,passive
1,1,5,0,idle
41,2,64,21,studying
2,0,34,0,idle
2,1,7,0,idle
5,1,62,5,passive
2,1,500,5,studying
2,0,45,2,idle
1,1,40,10,passive
-5,1,50,5,passive
1,0,20,0,idle
0,0,20,100,passive
2,0,29,1,idle
2,1,31,2,idle
5,1,59,3,passive
31,2,78,48,studying
5,1,47,2,passive
10,2,72,41,studying
44,2,83,23,studying
45,2,96,45,studying
1,1,1,2,idle
0,0,20,100,passive
16,2,96,16,studying
0,0,22,2,idle
1,1,21,0,idle
3,2,67,30,studying
44,2,61,31,studying
4,1,57,6,passive
2,1,48,2,passive
28,2,89,9,studying
5000,2,100,200,studying
2,1,43,7,passive
2,1,3,2,idle
0,1,12,2,idle
3,1,42,3,passive
4,1,51,9,passive
0,0,46,0,idle
-5,1,50,5,passive
35,2,85,47,studying
1000,0,10,0,idle
3,1,60,5,passive
36,2,70,30,studying
1,1,56,3,passive
0,0,0,0,idle
1,1,2,2,idle
1000,0,10,0,idle
0,0,30,0,idle
-5,1,50,5,passive
43,2,61,39,studying
1,1,0,1,idle
0,0,18,0,idle
1,1,20,1,idle
0,0,20,100,passive
3,2,92,17,studying
2,1,52,1,idle
3,1,49,9,passive
0,2,10,1,passive
4,1,62,10,passive
1,1,22,1,idle
2,1,68,4,passive
0,0,0,0,idle
0,2,10,1,passive
3,1,48,2,passive
3,1,70,3,passive
5,1,41,7,passive
1,1,51,3,passive
10,2,89,50,studying
14,2,91,29,studying
4,1,63,4,passive
-5,1,50,5,passive
35,2,66,21,studying
0,1,57,1,idle
2,0,18,1,idle
0,2,10,1,passive
32,2,69,15,studying
2,1,30,0,idle
7,2,74,17,studying
3,1,56,6,passive
4,1,41,8,passive
0,0,20,100,passive
3,1,64,5,passive
4,1,69,2,passive
2,1,51,8,passive
2,0,23,0,idle
4,1,68,3,passive
2,1,500,5,studying
4,1,60,3,passive
37,2,84,40,studying
0,1,44,0,idle
5000,2,100,200,studying
3,2,95,33,studying
0,0,38,0,idle
2,0,39,0,idle
2,1,66,6,passive
1,1,8,0,idle
2,0,24,0,idle
3,1,43,5,passive
0,1,46,1,idle
2,1,11,1,idle
-5,1,50,5,passive
4,1,49,8,passive
5,1,59,7,passive
42,2,80,23,studying
0,0,20,100,passive
1,0,56,2,idle
45,2,76,7,studying
0,1,22,1,idle
1,1,59,0,idle
3,1,43,6,passive
0,1,5,2,idle
-5,1,50,5,passive
38,2,88,9,studying
2,1,65,6,passive
31,2,65,37,studying
0,0,0,0,idle
14,2,85,50,studying
2,1,55,1,idle
1000,0,10,0,idle
1000,0,10,0,idle
5,1,41,8,passive
1,1,43,8,passive
32,2,99,15,studying
37,2,73,46,studying
4,1,51,2,passive
9,2,63,23,studying
2,0,37,2,idle
0,0,0,0,idle
1,1,46,6,passive
5,1,50,4,passive
0,0,20,100,passive
5,1,59,5,passive
50,2,81,11,studying
40,2,61,43,studying
1,1,6,2,idle
43,2,82,12,studying
2,1,10,1,idle
0,0,0,0,idle
25,2,83,44,studying
19,2,66,40,studying
3,1,42,4,passive
1,1,30,0,idle
8,2,75,20,studying
0,1,0,0,idle
0,0,54,0,idle
5000,2,100,200,studying
5000,2,100,200,studying
3,1,54,9,passive
1000,0,10,0,idle
1,1,61,7,passive
1,1,55,5,passive
1,1,47,1,idle
0,2,10,1,passive
29,2,70,23,studying
1,0,48,1,idle
0,0,11,0,idle
2,1,54,2,passive
5,1,67,8,passive
35,2,92,28,studying
-5,1,50,5,passive
2,1,67,10,passive
0,0,0,0,idle
35,2,67,29,studying
4,1,51,7,passive
1,1,19,0,idle
1,1,45,5,passive
42,2,80,40,studying
1000,0,10,0,idle
6,2,66,11,studying
1,1,35,2,idle
1,1,42,10,passive
2,0,4,0,idle
15,2,66,48,studying
2,0,0,2,idle
0,0,15,2,idle
3,2,72,45,studying
5000,2,100,200,studying
34,2,88,45,studying
24,2,70,15,studying
2,1,18,0,idle
28,2,75,38,studying
4,1,45,8,passive
2,0,22,2,idle
1,0,0,2,idle
5000,2,100,200,studying
2,1,57,0,idle
12,2,85,41,studying
5,1,51,9,passive
1,1,46,8,passive
1,1,20,1,idle
16,2,85,25,studying
2,1,30,2,idle
43,2,97,12,studying
4,1,41,5,passive
2,1,500,5,studying
8,2,73,37,studying
2,1,41,1,idle
2,1,55,4,passive
37,2,89,48,studying
0,0,8,2,idle
2,0,49,2,idle
1,1,36,0,idle
4,1,67,3,passive
48,2,83,36,studying
2,1,59,4,passive
3,1,56,8,passive
1,1,53,3,passive
3,1,41,5,passive
1,0,46,1,idle
5000,2,100,200,studying
1,1,54,2,idle
5000,2,100,200,studying
34,2,77,50,studying
6,2,90,27,studying
1,1,43,0,idle
0,1,48,2,idle
3,1,41,10,passive
1,1,48,6,passive
5,1,66,6,passive
1,0,21,2,idle
4,1,59,7,passive
2,1,38,2,idle
2,0,57,0,idle
1,1,60,10,passive
9,2,69,26,studying
1000,0,10,0,idle
39,2,86,13,studying
-5,1,50,5,passive
5000,2,100,200,studying
5,1,47,7,passive
0,0,20,100,passive
1,1,63,4,passive
45,2,98,30,studying
35,2,91,22,studying
5,1,45,10,passive
1000,0,10,0,idle
2,1,59,2,idle
1,1,60,7,passive
2,1,45,4,passive
25,2,88,37,studying
5,1,47,10,passive
5000,2,100,200,studying
2,1,56,1,idle
0,0,43,0,idle
20,2,66,35,studying
2,1,26,2,idle
0,0,0,0,idle
34,2,73,41,studying
41,2,91,47,studying
2,0,51,0,idle
16,2,96,14,studying
1,0,19,2,idle
2,1,500,5,studying
1,1,29,0,idle
0,0,0,0,idle
0,0,20,100,passive
32,2,63,43,studying
3,2,64,31,studying
30,2,75,11,studying
2,1,500,5,studying
4,1,62,10,passive
0,0,23,0,idle
2,1,40,5,passive
3,1,65,6,passive
1,0,42,1,idle
1,1,58,5,passive
-5,1,50,5,passive
0,2,10,1,passive
38,2,91,20,studying
5000,2,100,200,studying
39,2,92,21,studying
8,2,98,16,studying
32,2,69,46,studying
0,0,41,2,idle
15,2,77,31,studying
1,0,27,1,idle
0,0,20,100,passive
2,1,7,0,idle
5,1,59,9,passive
2,1,21,0,idle
2,1,500,5,studying
0,1,38,0,idle
0,1,48,0,idle
1000,0,10,0,idle
2,1,40,7,passive
45,2,61,16,studying
30,2,70,20,studying
-5,1,50,5,passive
5000,2,100,200,studying
4,2,79,15,studying
1,1,6,0,idle
